2016-10-24,0D,2.72090
2016-10-24,10Y,3.90130
2016-10-24,14D,2.94840
2016-10-24,1M,3.07020
2016-10-24,1Y,3.04990
2016-10-24,2M,3.08720
2016-10-24,2Y,3.14870
2016-10-24,3M,3.05510
2016-10-24,3Y,3.14260
2016-10-24,4Y,3.33220
2016-10-24,5Y,3.42930
2016-10-24,6M,3.05810
2016-10-24,6Y,3.68530
2016-10-24,7D,2.72280
2016-10-24,7Y,3.76970
2016-10-24,8Y,3.85710
2016-10-24,9M,3.04190
2016-10-24,9Y,3.87580
2016-10-21,0D,2.71190
2016-10-21,10Y,3.91150
2016-10-21,14D,2.84360
2016-10-21,1M,2.96860
2016-10-21,1Y,3.04370
2016-10-21,2M,2.98440
2016-10-21,2Y,3.16100
2016-10-21,3M,3.02090
2016-10-21,3Y,3.15170
2016-10-21,4Y,3.36260
2016-10-21,5Y,3.44310
2016-10-21,6M,3.02030
2016-10-21,6Y,3.70570
2016-10-21,7D,2.70980
2016-10-21,7Y,3.78000
2016-10-21,8Y,3.85740
2016-10-21,9M,3.03720
2016-10-21,9Y,3.88100
2016-10-20,0D,2.66790
2016-10-20,10Y,3.92160
2016-10-20,14D,2.81260
2016-10-20,1M,2.90420
2016-10-20,1Y,3.01620
2016-10-20,2M,2.91020
2016-10-20,2Y,3.12620
2016-10-20,3M,2.95920
2016-10-20,3Y,3.15380
2016-10-20,4Y,3.37980
2016-10-20,5Y,3.44220
2016-10-20,6M,2.99540
2016-10-20,6Y,3.72440
2016-10-20,7D,2.67580
2016-10-20,7Y,3.78710
2016-10-20,8Y,3.85290
2016-10-20,9M,2.99080
2016-10-20,9Y,3.88380
2016-10-19,0D,2.65590
2016-10-19,10Y,3.94120
2016-10-19,14D,2.80960
2016-10-19,1M,2.89620
2016-10-19,1Y,3.02350
2016-10-19,2M,2.86460
2016-10-19,2Y,3.13010
2016-10-19,3M,2.92940
2016-10-19,3Y,3.15420
2016-10-19,4Y,3.39680
2016-10-19,5Y,3.48570
2016-10-19,6M,2.95090
2016-10-19,6Y,3.75030
2016-10-19,7D,2.66880
2016-10-19,7Y,3.81860
2016-10-19,8Y,3.87010
2016-10-19,9M,2.96890
2016-10-19,9Y,3.89720
2016-10-18,0D,2.63290
2016-10-18,10Y,3.94640
2016-10-18,14D,2.80360
2016-10-18,1M,2.88110
2016-10-18,1Y,3.01210
2016-10-18,2M,2.87570
2016-10-18,2Y,3.13400
